zeta,error
0.5,62715.2150027
0.505,62181.9703781
0.51,61501.5004332
0.515,61319.0783346
0.52,61279.3259542
0.525,61056.674646
0.53,60753.618221
0.535,60864.7829355
0.54,60557.4637261
0.545,60487.0451944
0.55,59283.754436
0.555,58753.650089
0.56,57819.3692418
0.565,57197.0407981
0.57,56823.4199642
0.575,55520.5086893
0.58,54941.5806975
0.585,54535.028482
0.59,53549.8667754
0.595,53243.0278477
0.6,52064.6569659
0.605,50774.5557268
0.61,50180.7180166
0.615,49553.7173556
0.62,49207.2126094
0.625,49207.0668699
0.63,49036.8481988
0.635,47853.7986984
0.64,46796.7889737
0.645,46751.8443528
0.65,47383.9119436
0.655,45220.1950626
0.66,44297.1373735
0.665,42861.2753718
0.67,40553.5898585
0.675,42918.8955899
0.68,39185.4481787
0.685,40252.0380978
0.69,38203.0125571
0.695,37819.8117519
0.7,36564.7481635
0.705,37017.4412919
0.71,36765.8828394
0.715,34730.8372226
0.72,35277.711956
0.725,35173.5553491
0.73,32500.3553907
0.735,31491.0597896
0.74,29697.938733
0.745,29186.5291646
0.75,25751.851641
0.755,24889.1039155
0.76,26388.8432641
0.765,31398.5084856
0.77,29076.1377432
0.775,27529.45217
0.78,26474.9411553
0.785,26643.7977278
0.79,26570.0293471
0.795,25914.2560533
0.8,25510.6462748
0.805,21438.5927027
0.81,20618.5602457
0.815,21529.3803518
0.82,21630.8086236
0.825,21712.5195501
0.83,22921.7267197
0.835,21224.1523288
0.84,21767.0139687
0.845,22511.1070573
0.85,20732.4811006
0.855,22127.8159119
0.86,20988.9827932
0.865,22815.48407
0.87,24140.4517648
0.875,21481.7564996
0.88,23921.8167239
0.885,22633.7730308
0.89,23632.0979694
0.895,24072.1400037
0.9,24387.3455084
0.905,26492.8274069
0.91,23528.1317449
0.915,26182.2810829
0.92,29880.0123282
0.925,25204.507787
0.93,31644.5411215
0.935,34642.2674816
0.94,32710.7932743
0.945,36636.4329002
0.95,41443.3800977
0.955,35734.5265691
0.96,43963.0175409
0.965,49863.2802216
0.97,52643.6957845
0.975,71816.3306422
0.98,71142.3736644
0.985,76829.1188397
0.99,99371.3637081
0.995,113159.97416
1.0,91125.0
